cohort,model_a,model_b,d_auroc,d_auroc_lo,d_auroc_hi,d_auroc_verdict,d_bal_acc,d_bal_acc_lo,d_bal_acc_hi,d_bal_acc_verdict,protocol,source_path,source_line
internal_tcga,WSI only,probability mean,-0.038622575012510325,-0.05444671950158805,-0.023409939702799542,sig,-0.07404695445341074,-0.12146481308334871,-0.02736041954339137,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,2;16
internal_tcga,CNV only,probability mean,-0.05407534144444953,-0.07319209792310473,-0.037069076708374116,sig,-0.07328153109745429,-0.1163790362210955,-0.0329606036382371,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,3;17
internal_tcga,concat,probability mean,-0.04304817483884377,-0.06302649533529546,-0.02555683560252524,sig,-0.07744469344586404,-0.12649247345486322,-0.026560405305990954,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,5;18
internal_tcga,gated,probability mean,-0.03111394342287196,-0.04770771259498095,-0.016121072881522324,sig,-0.06740390611501344,-0.11973421699735053,-0.016170977716616748,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,6;19
internal_tcga,cross_attention,probability mean,-0.0341545586601996,-0.05409307454947248,-0.015574214975917086,sig,-0.06645313379724613,-0.11730115583907715,-0.01548309056566436,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,7;20
internal_tcga,film_attention,probability mean,-0.04379780652508913,-0.06182649093959469,-0.027087972318448793,sig,-0.08582879995405462,-0.13215234576555676,-0.03846992011266033,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,8;21
internal_tcga,coattn,probability mean,-0.026711102540274773,-0.04317623033478397,-0.010608889897557176,sig,-0.06699371746621562,-0.11776862944952335,-0.017101050114914494,sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,9;22
external_cptac,WSI only (raw),"WSI only (prior-balanced, post hoc)",-0.018247981712163717,-0.03541423396436859,-0.0015877633928096328,sig,-0.04049387323735806,-0.11434984093162563,0.029861587479365397,ns,"TCGA-trained, applied to CPTAC untouched, 114 cases (378 slides); paired bootstrap N=4000 seed 7",/workspace/dp-code/.scratch/wsi_cnv_report/external_contrasts.csv;/workspace/dp-code/.scratch/analysis/cnv_wsi_fusion/2026-09-01_18-58-28/output.txt,2;20-34 (signs negated to a - b)
external_cptac,WSI only (raw),CNV only (39 arms),-0.04166046465770925,-0.10264837868307841,0.019021781906908453,ns,-0.20224393973574042,-0.31476039103089964,-0.0890086631939198,sig,"TCGA-trained, applied to CPTAC untouched, 114 cases (378 slides); paired bootstrap N=4000 seed 7",/workspace/dp-code/.scratch/wsi_cnv_report/external_contrasts.csv;/workspace/dp-code/.scratch/analysis/cnv_wsi_fusion/2026-09-01_18-58-28/output.txt,3;20-34 (signs negated to a - b)
external_cptac,WSI only (raw),Fusion: equal-weight mean,-0.06278159976265416,-0.10358623825715835,-0.023603635778022488,sig,-0.13298582032710926,-0.23953133085112163,-0.03141997708174181,sig,"TCGA-trained, applied to CPTAC untouched, 114 cases (378 slides); paired bootstrap N=4000 seed 7",/workspace/dp-code/.scratch/wsi_cnv_report/external_contrasts.csv;/workspace/dp-code/.scratch/analysis/cnv_wsi_fusion/2026-09-01_18-58-28/output.txt,4;20-34 (signs negated to a - b)
