cohort,arm,n,macro_auroc,auroc_ci_lo,auroc_ci_hi,bal_acc,bal_acc_ci_lo,bal_acc_ci_hi,her2_recall,her2_support,delta_auroc_vs_mean,delta_ci_lo,delta_ci_hi,verdict,protocol,post_hoc,trained,source_path,source_line
internal_tcga,"WSI only (CLAM-MB, UNI2-h)",599,0.8871541313641964,0.8668235249222215,0.9089998493587667,0.6771821631878558,0.6309417726451575,0.7247148501275454,26/51,51,-0.038622575012510325,-0.05444671950158805,-0.023409939702799542,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,false,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,2;6
internal_tcga,"CNV only (39 arms, refit per CLAM fold)",599,0.8720796468747911,0.8476332394517142,0.8947008675655058,0.6783919897843496,0.632356855034426,0.7235352266723089,25/51,51,-0.05407534144444953,-0.07319209792310473,-0.037069076708374116,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,false,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,3;7
internal_tcga,Fusion: equal-weight probability mean [BASELINE],599,0.9259220412119454,0.9100222043343802,0.941334167165082,0.7513015705369184,0.7114687917687919,0.7939437802688416,30/51,51,,,,baseline (equal-weight probability mean),"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,false,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,4;8
internal_tcga,Fusion operator: concat (trained),599,0.8826724718976328,0.8585966932591336,0.9059541615941143,0.6740554103564736,0.6291026148215663,0.7206793335334866,,51,-0.04304817483884377,-0.06302649533529546,-0.02555683560252524,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,true,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,5;9
internal_tcga,Fusion operator: gated (trained),599,0.894688909365786,0.8749841008718475,0.914863267427989,0.6832022066282387,0.6374801568260998,0.7300870478334485,,51,-0.03111394342287196,-0.04770771259498095,-0.016121072881522324,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,true,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,6;10
internal_tcga,Fusion operator: cross_attention (trained),599,0.8917154782891257,0.8689276116078336,0.9142512587724266,0.6848304750993519,0.638760825074098,0.7304383856035329,,51,-0.0341545586601996,-0.05409307454947248,-0.015574214975917086,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,true,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,7;11
internal_tcga,Fusion operator: film_attention (trained),599,0.8818011636746377,0.8607524878959425,0.9032320617467714,0.6652323284761257,0.6178060646054515,0.7142469608049827,,51,-0.04379780652508913,-0.06182649093959469,-0.027087972318448793,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,true,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,8;12
internal_tcga,Fusion operator: coattn (trained),599,0.8991668868493614,0.8787991182543264,0.9189880706955775,0.6842016934588808,0.6391018206950642,0.7304518324403829,,51,-0.026711102540274773,-0.04317623033478397,-0.010608889897557176,AUROC significantly below the equal-weight mean (sig); balanced accuracy sig,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV refit per CLAM fold; paired bootstrap N=2000 seed 13",false,true,/workspace/dp-code/.scratch/wsi_cnv_report/internal_ladder_pooled.csv;/workspace/dp-code/.scratch/analysis/compare_fusion_ladder/2026-09-01_19-01-21/output.txt,9;13
internal_tcga,"CNV only (39 arms, StratifiedKFold(10, seed 0))",599,0.8624262484882059,0.836,0.888,0.6620041351902903,,,26/51,51,-0.059,-0.079,-0.04,"AUROC significantly below the equal-weight mean OF THIS PROTOCOL (0.922, WSI + StratifiedKFold CNV) (sig); NOT compared against the 0.9259 baseline row","10 CLAM folds pooled OOF, 599 TCGA cases; CNV via StratifiedKFold(10, shuffle, seed 0); paired bootstrap N=4000 seed 7; AUROC CI and delta printed to 3 dp only",false,false,/workspace/dp-code/.scratch/wsi_cnv_report/internal_cnv_protocols.csv;/workspace/dp-code/.scratch/analysis/cnv_wsi_fusion/2026-09-01_18-59-16/output.txt,"3;40,44"
internal_tcga,Fusion: equal-weight mean (WSI + StratifiedKFold CNV) [protocol variant],599,0.922,0.904,0.938,0.747,,,32/51,51,,,,baseline of the StratifiedKFold protocol; the report's nominated baseline is the per-CLAM-fold row at 0.9259,"10 CLAM folds pooled OOF, 599 TCGA cases; CNV via StratifiedKFold(10, shuffle, seed 0); paired bootstrap N=4000 seed 7; printed to 3 dp only",false,false,/workspace/dp-code/.scratch/analysis/cnv_wsi_fusion/2026-09-01_18-59-16/output.txt,41
