folds,best_epoch,n_train,n_val,n_test,n_features,val_auc,val_acc,val_balanced_acc,val_loss,test_auc,test_acc,test_balanced_acc,test_loss
0,24,837,104,104,20530,0.9926743805579461,0.9134615384615384,0.8616071428571428,0.3227173984050751,0.961879885613884,0.8942307692307693,0.8526785714285714,0.5573135087123284
1,22,837,104,104,20530,0.9869801248614538,0.9423076923076923,0.9166666666666666,0.34385566126841766,0.9786467297762478,0.8653846153846154,0.8586309523809523,0.43685681888690364
2,12,837,104,104,20530,0.9882089742900171,0.8942307692307693,0.9017857142857143,0.23545147134707525,0.9772914201448653,0.8942307692307693,0.8588659147869674,0.44869338319851804
3,22,837,104,104,20530,0.9906512209552495,0.9326923076923077,0.9196428571428571,0.21518840812719786,0.978499937248996,0.9038461538461539,0.9330357142857143,0.21343171367278466
4,7,837,104,104,20530,0.9884342055722892,0.9038461538461539,0.8645833333333333,0.2906726667514214,0.978792637308966,0.8653846153846154,0.818687343358396,0.3709230308349316
5,18,837,104,104,20530,0.9774897581397017,0.9134615384615384,0.8958333333333333,0.38854435544747573,0.9696626909423408,0.8942307692307693,0.8869047619047619,0.382881013246683
6,11,837,104,104,20530,0.9865702377871726,0.8942307692307693,0.8843984962406015,0.29696873747385466,0.9840696491322433,0.8846153846153846,0.881187343358396,0.2964278654410289
7,9,837,104,104,20530,0.9938263097030982,0.9230769230769231,0.9642857142857143,0.14497017745788282,0.9822866859271451,0.9038461538461539,0.8645833333333333,0.3386226433974046
8,4,837,104,104,20530,0.9921906993020734,0.9230769230769231,0.9139254385964912,0.2056234937447768,0.9730590890347103,0.8653846153846154,0.8660714285714286,0.2933946160169748
9,10,837,104,104,20530,0.9819433985943776,0.9134615384615384,0.8901159147869674,0.38239779609900254,0.9732983272375214,0.9038461538461539,0.9169016290726817,0.3103402348665091
