folds,best_epoch,n_train,n_val,n_test,n_features,val_auc,val_acc,val_balanced_acc,val_macro_f1,val_weighted_f1,val_loss,test_auc,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_loss
0,41,767,104,103,10000,0.9951228372406561,0.9615384615384616,0.9651923076923077,0.9573179271708683,0.9611573475544064,0.501632415331327,0.9693276869605072,0.8543689320388349,0.8610252497225306,0.8536287242169596,0.8557148543442091,0.7020808811326629
1,3,784,96,94,10000,0.9767929960726981,0.875,0.8884803921568627,0.8689045183290707,0.8806541275930663,0.731352299451828,0.9789785508798114,0.8936170212765957,0.9263038548752834,0.9100132187706544,0.899101404845945,0.6953181421503107
2,21,774,103,97,10000,0.9822426667175922,0.912621359223301,0.9204481132075472,0.9244516361021216,0.913901893221339,0.6092131745468066,0.9905106715249286,0.9484536082474226,0.9421393557422969,0.9284404924760601,0.949310505309772,0.5450903109668457
3,12,779,96,99,10000,0.9842587903116968,0.8958333333333334,0.9080677725635709,0.8825837397049652,0.8966766349280638,0.6293039520581564,0.9836459908853962,0.8787878787878788,0.8546830143540669,0.8678955170700453,0.8743876479725537,0.6342040769981615
4,21,776,99,99,10000,0.993795138077053,0.9292929292929293,0.9663461538461539,0.9275852404279691,0.9305504165488081,0.5647477317940105,0.9841778704871219,0.8787878787878788,0.8588188898747905,0.8697712418300654,0.8776721462995972,0.5922560899546652
5,20,783,95,96,10000,0.9906160062699148,0.9473684210526315,0.9569746376811594,0.9496802469816417,0.946992377575506,0.5731363114557768,0.9859374999999999,0.8854166666666666,0.9132211538461539,0.8798427520413938,0.8876165548279301,0.6088272432486216
6,9,772,99,103,10000,0.9649295021358893,0.8787878787878788,0.8849904092071611,0.8706550802139037,0.8808269864419597,0.7309005513335719,0.9825774545037311,0.8543689320388349,0.8663082685904551,0.8147407579632644,0.8645765378564029,0.6571366671219613
7,4,780,99,95,10000,0.9822137996436124,0.8787878787878788,0.8820187165775402,0.8715174628663187,0.8829134378712862,0.640141016305095,0.9868387346882382,0.8631578947368421,0.9023654916512059,0.8560361681329423,0.8644152904254773,0.6311929956862801
8,4,780,95,99,10000,0.9864999999999999,0.8947368421052632,0.9177941176470588,0.8938315407387573,0.8962869529337246,0.6141560777237541,0.9672795268139528,0.8787878787878788,0.8670875959079284,0.847906586353313,0.8767770526435481,0.751535005039639
9,33,775,98,101,10000,0.989511635707288,0.8979591836734694,0.91128663003663,0.8962585034013606,0.9018377759266972,0.5719579373087201,0.9770866063816831,0.8514851485148515,0.8368347338935573,0.8324550706033376,0.856207247168876,0.6447925546971878
