gene,arm
A3GALT2,1p
AADACL3,1p
AADACL4,1p
ABCA4,1p
ABCB10,1q
ABCD3,1p
ABL2,1q
ACADM,1p
ACAP3,1p
ACBD3,1q
ACBD3-AS1,1q
ACBD6,1q
ACKR1,1q
ACOT11,1p
ACOT7,1p
ACP6,1q
ACTA1,1q
ACTG1P20,1p
ACTG1P25,1q
ACTG1P4,1p
ACTL8,1p
ACTN2,1q
ACTRT2,1p
ADAM15,1q
ADAM30,1p
ADAMTS4,1q
ADAMTSL4,1q
ADAMTSL4-AS1,1q
ADAR,1q
ADCY10,1q
ADGRB2,1p
ADGRL2,1p
ADGRL4,1p
ADIPOR1,1q
ADORA1,1q
ADORA3,1p
ADPRS,1p
ADSS2,1q
AGBL4,1p
AGBL4-AS1,1p
AGBL4-IT1,1p
AGL,1p
AGMAT,1p
AGO1,1p
AGO3,1p
AGO4,1p
AGRN,1p
AGT,1q
AGTRAP,1p
AHCTF1,1q
AHCYL1,1p
AHDC1,1p
AIDA,1q
AIM2,1q
AJAP1,1p
AK2,1p
AK4,1p
AK5,1p
AKIRIN1,1p
AKNAD1,1p
AKR1A1,1p
AKR7A2,1p
AKR7A2P1,1p
AKR7A3,1p
AKR7L,1p
AKT3,1q
ALDH4A1,1p
ALDH9A1,1q
ALG14,1p
ALG14-AS1,1p
ALG6,1p
ALPL,1p
ALX3,1p
AMIGO1,1p
AMPD1,1p
AMPD2,1p
AMY1A,1p
AMY1B,1p
AMY1C,1p
AMY2A,1p
AMY2B,1p
ANGEL2,1q
ANGPTL1,1q
ANGPTL3,1p
ANGPTL7,1p
ANKRD13C,1p
ANKRD34A,1q
ANKRD35,1q
ANKRD36BP1,1q
ANKRD45,1q
ANKRD65,1p
ANP32E,1q
ANXA9,1q
AP4B1,1p
AP4B1-AS1,1p
APCS,1q
APH1A,1q
APOA2,1q
APOBEC4,1q
AQP10,1q
ARF1,1q
ARHGAP29,1p
ARHGAP30,1q
ARHGEF10L,1p
ARHGEF11,1q
ARHGEF16,1p
ARHGEF19,1p
ARHGEF2,1q
ARID1A,1p
ARID4B,1q
ARL8A,1q
ARMH1,1p
ARNT,1q
ARPC5,1q
ARTN,1p
ARV1,1q
ASAP3,1p
ASB17,1p
ASCL5,1q
ASH1L,1q
ASH1L-AS1,1q
ASPM,1q
ASTN1,1q
ATAD3A,1p
ATAD3B,1p
ATAD3C,1p
ATF3,1q
ATF6,1q
ATG4C,1p
ATP13A2,1p
ATP1A1,1p
ATP1A1-AS1,1p
ATP1A2,1q
ATP1A4,1q
ATP1B1,1q
ATP2B4,1q
ATP5IF1,1p
ATP5PB,1p
ATP6V0B,1p
ATP6V1G3,1q
ATP8B2,1q
ATPAF1,1p
ATXN7L2,1p
AUNIP,1p
AURKAIP1,1p
AURKAP1,1q
AVPR1B,1q
AXDND1,1q
AZIN2,1p
B3GALNT2,1q
B3GALT2,1q
B3GALT6,1p
B4GALT2,1p
B4GALT3,1q
BARHL2,1p
BATF3,1q
BCAN,1q
BCAR3,1p
BCAR3-AS1,1p
BCAS2,1p
BCL10,1p
BCL2L15,1p
BCL9,1q
BECN2,1q
BEND5,1p
BEST4,1p
BGLAP,1q
BLACAT1,1q
BLZF1,1q
BMP8A,1p
BMP8B,1p
BNIPL,1q
BOLA1,1q
BPNT1,1q
BRDT,1p
BRINP2,1q
BRINP3,1q
BROX,1q
BSDC1,1p
BSND,1p
BTBD19,1p
BTBD8,1p
BTF3L4,1p
BTG2,1q
BTNL10,1q
C1QA,1p
C1QB,1p
C1QC,1p
C1QTNF12,1p
C1orf100,1q
C1orf105,1q
C1orf109,1p
C1orf112,1q
C1orf115,1q
C1orf116,1q
C1orf122,1p
C1orf127,1p
C1orf131,1q
C1orf141,1p
C1orf146,1p
C1orf158,1p
C1orf159,1p
C1orf162,1p
C1orf167,1p
C1orf167-AS1,1p
C1orf174,1p
C1orf185,1p
C1orf189,1q
C1orf194,1p
C1orf195,1p
C1orf198,1q
C1orf21,1q
C1orf210,1p
C1orf216,1p
C1orf220,1q
C1orf226,1q
C1orf229,1q
C1orf232,1p
C1orf35,1q
C1orf43,1q
C1orf50,1p
C1orf52,1p
C1orf53,1q
C1orf54,1q
C1orf56,1q
C1orf68,1q
C1orf74,1q
C1orf87,1p
C1orf94,1p
C2CD4D,1q
C2CD4D-AS1,1q
C4BPA,1q
C4BPB,1q
C8A,1p
C8B,1p
CA14,1q
CA6,1p
CACHD1,1p
CACNA1E,1q
CACNA1S,1q
